student_track_id,student_id,track_name,date_enrolled,track_completed,days_for_completion,completion_bucket
1,6,"Business Analyst",2022-09-16,0,"Not completed yet","Not completed yet"
2,6,"Data Scientist",2022-09-16,0,"Not completed yet","Not completed yet"
3,20,"Data Analyst",2022-02-25,0,"Not completed yet","Not completed yet"
4,31,"Data Analyst",2022-04-02,0,"Not completed yet","Not completed yet"
5,209,"Business Analyst",2022-06-02,0,"Not completed yet","Not completed yet"
6,209,"Data Scientist",2022-01-28,0,"Not completed yet","Not completed yet"
7,221,"Data Analyst",2022-02-13,0,"Not completed yet","Not completed yet"
8,326,"Data Analyst",2022-03-29,0,"Not completed yet","Not completed yet"
9,353,"Data Analyst",2022-07-07,0,"Not completed yet","Not completed yet"
10,454,"Data Analyst",2022-02-03,0,"Not completed yet","Not completed yet"
11,492,"Data Scientist",2022-03-06,0,"Not completed yet","Not completed yet"
12,616,"Data Analyst",2022-04-03,0,"Not completed yet","Not completed yet"
13,702,"Data Scientist",2022-05-21,0,"Not completed yet","Not completed yet"
14,704,"Data Scientist",2022-08-11,0,"Not completed yet","Not completed yet"
15,768,"Business Analyst",2022-07-20,0,"Not completed yet","Not completed yet"
16,801,"Business Analyst",2022-01-17,0,"Not completed yet","Not completed yet"
17,801,"Data Analyst",2022-01-17,0,"Not completed yet","Not completed yet"
18,801,"Data Scientist",2022-01-16,0,"Not completed yet","Not completed yet"
19,813,"Data Analyst",2022-01-20,0,"Not completed yet","Not completed yet"
20,816,"Data Analyst",2022-01-04,0,"Not completed yet","Not completed yet"
21,872,"Data Analyst",2022-09-27,0,"Not completed yet","Not completed yet"
22,893,"Data Scientist",2022-07-20,0,"Not completed yet","Not completed yet"
23,897,"Data Scientist",2022-08-19,0,"Not completed yet","Not completed yet"
24,911,"Data Analyst",2022-03-22,0,"Not completed yet","Not completed yet"
25,1019,"Business Analyst",2022-05-11,0,"Not completed yet","Not completed yet"
26,1019,"Data Analyst",2022-03-05,0,"Not completed yet","Not completed yet"
27,1019,"Data Scientist",2022-03-27,0,"Not completed yet","Not completed yet"
28,1035,"Business Analyst",2022-01-10,0,"Not completed yet","Not completed yet"
29,1099,"Data Analyst",2022-01-27,0,"Not completed yet","Not completed yet"
30,1102,"Business Analyst",2022-01-16,0,"Not completed yet","Not completed yet"
31,1102,"Data Analyst",2022-01-16,0,"Not completed yet","Not completed yet"
32,1102,"Data Scientist",2022-01-16,0,"Not completed yet","Not completed yet"
33,1159,"Data Analyst",2022-06-01,0,"Not completed yet","Not completed yet"
34,1173,"Business Analyst",2022-09-11,0,"Not completed yet","Not completed yet"
35,1221,"Data Scientist",2022-03-23,0,"Not completed yet","Not completed yet"
36,1235,"Data Scientist",2022-03-15,0,"Not completed yet","Not completed yet"
37,1246,"Data Analyst",2022-05-16,0,"Not completed yet","Not completed yet"
38,1270,"Data Analyst",2022-09-12,0,"Not completed yet","Not completed yet"
39,1289,"Data Analyst",2022-07-12,0,"Not completed yet","Not completed yet"
40,1306,"Data Analyst",2022-10-09,0,"Not completed yet","Not completed yet"
41,1314,"Data Analyst",2022-06-24,0,"Not completed yet","Not completed yet"
42,1362,"Data Scientist",2022-10-16,0,"Not completed yet","Not completed yet"
43,1363,"Business Analyst",2022-04-16,0,"Not completed yet","Not completed yet"
44,1370,"Data Scientist",2022-08-15,0,"Not completed yet","Not completed yet"
45,1411,"Data Scientist",2022-02-14,0,"Not completed yet","Not completed yet"
46,1468,"Data Scientist",2022-09-14,0,"Not completed yet","Not completed yet"
47,1486,"Data Analyst",2022-09-04,0,"Not completed yet","Not completed yet"
48,1486,"Data Scientist",2022-02-06,0,"Not completed yet","Not completed yet"
49,1498,"Business Analyst",2022-04-03,0,"Not completed yet","Not completed yet"
50,1500,"Data Analyst",2022-07-20,0,"Not completed yet","Not completed yet"
51,1501,"Data Analyst",2022-08-23,0,"Not completed yet","Not completed yet"
52,1503,"Data Analyst",2022-04-01,0,"Not completed yet","Not completed yet"
53,1517,"Data Analyst",2022-01-20,0,"Not completed yet","Not completed yet"
54,1517,"Data Scientist",2022-01-22,0,"Not completed yet","Not completed yet"
55,1521,"Data Analyst",2022-04-05,1,406,366+
56,1522,"Business Analyst",2022-04-27,0,"Not completed yet","Not completed yet"
57,1522,"Data Scientist",2022-04-27,0,"Not completed yet","Not completed yet"
58,1537,"Data Scientist",2022-02-14,0,"Not completed yet","Not completed yet"
59,1538,"Business Analyst",2022-08-23,0,"Not completed yet","Not completed yet"
60,1538,"Data Analyst",2022-08-22,0,"Not completed yet","Not completed yet"
61,1538,"Data Scientist",2022-08-23,0,"Not completed yet","Not completed yet"
62,1540,"Data Scientist",2022-01-14,0,"Not completed yet","Not completed yet"
63,1552,"Data Scientist",2022-03-15,0,"Not completed yet","Not completed yet"
64,1559,"Data Analyst",2022-02-01,0,"Not completed yet","Not completed yet"
65,1561,"Business Analyst",2022-08-07,0,"Not completed yet","Not completed yet"
66,1563,"Data Scientist",2022-06-26,0,"Not completed yet","Not completed yet"
67,1578,"Data Analyst",2022-01-12,0,"Not completed yet","Not completed yet"
68,1600,"Data Analyst",2022-03-07,0,"Not completed yet","Not completed yet"
69,1791,"Data Scientist",2022-07-28,0,"Not completed yet","Not completed yet"
70,1795,"Data Analyst",2022-01-03,0,"Not completed yet","Not completed yet"
71,1802,"Data Analyst",2022-06-27,0,"Not completed yet","Not completed yet"
72,1809,"Data Scientist",2022-09-27,0,"Not completed yet","Not completed yet"
73,1852,"Business Analyst",2022-04-15,0,"Not completed yet","Not completed yet"
74,1863,"Data Analyst",2022-02-14,0,"Not completed yet","Not completed yet"
75,1866,"Data Analyst",2022-03-16,0,"Not completed yet","Not completed yet"
76,1879,"Business Analyst",2022-05-09,0,"Not completed yet","Not completed yet"
77,1879,"Data Analyst",2022-05-09,0,"Not completed yet","Not completed yet"
78,1879,"Data Scientist",2022-05-09,0,"Not completed yet","Not completed yet"
79,1901,"Data Analyst",2022-10-08,0,"Not completed yet","Not completed yet"
80,1901,"Data Scientist",2022-07-15,0,"Not completed yet","Not completed yet"
81,1909,"Business Analyst",2022-07-14,0,"Not completed yet","Not completed yet"
82,1909,"Data Analyst",2022-08-24,0,"Not completed yet","Not completed yet"
83,1914,"Data Analyst",2022-03-26,0,"Not completed yet","Not completed yet"
84,1949,"Business Analyst",2022-08-15,0,"Not completed yet","Not completed yet"
85,1949,"Data Analyst",2022-08-11,0,"Not completed yet","Not completed yet"
86,1956,"Data Analyst",2022-06-02,0,"Not completed yet","Not completed yet"
87,2014,"Business Analyst",2022-04-20,0,"Not completed yet","Not completed yet"
88,2014,"Data Analyst",2022-04-20,0,"Not completed yet","Not completed yet"
89,2018,"Data Analyst",2022-06-02,0,"Not completed yet","Not completed yet"
90,2019,"Data Analyst",2022-01-18,0,"Not completed yet","Not completed yet"
91,2073,"Data Scientist",2022-01-01,0,"Not completed yet","Not completed yet"
